date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:40	234/234	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Mar%202021%2008:48:59%20GMT	https://preview.colorlib.com/robots.txt		(from )
11:48:40	25771/25771	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2001:49:59%20GMT	https://preview.colorlib.com/theme/sogo/	E:/viv/preview.colorlib.com/theme/sogo/index.html	(from )
11:48:41	159709/159709	---M-Z	200	added ('OK')	text/css	etag:%2226fdd-57f4d26940f00-gzip%22	https://preview.colorlib.com/theme/sogo/css/bootstrap.min.css	E:/viv/preview.colorlib.com/theme/sogo/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/sogo/)
11:48:41	17778/17778	---MCZ	200	added ('OK')	text/css	etag:W/%225e84-57f4d259feb00-gzip%22	https://preview.colorlib.com/theme/sogo/css/animate.css	E:/viv/preview.colorlib.com/theme/sogo/css/animate.css	(from https://preview.colorlib.com/theme/sogo/)
11:48:42	3440/3440	---M-Z	200	added ('OK')	text/css	etag:%22d70-57f4d26b29380-gzip%22	https://preview.colorlib.com/theme/sogo/css/owl.carousel.min.css	E:/viv/preview.colorlib.com/theme/sogo/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/sogo/)
11:48:42	25948/25948	---MCZ	200	added ('OK')	text/css	etag:W/%22657f-57f4d259feb00-gzip%22	https://preview.colorlib.com/theme/sogo/css/aos.css	E:/viv/preview.colorlib.com/theme/sogo/css/aos.css	(from https://preview.colorlib.com/theme/sogo/)
11:48:42	16329/16329	---MCZ	200	added ('OK')	text/css	etag:W/%224619-57f4d25be6f80-gzip%22	https://preview.colorlib.com/theme/sogo/css/bootstrap-datepicker.css	E:/viv/preview.colorlib.com/theme/sogo/css/bootstrap-datepicker.css	(from https://preview.colorlib.com/theme/sogo/)
11:48:43	1426/1426	---MCZ	200	added ('OK')	text/css	etag:W/%22634-57f4d26940f00-gzip%22	https://preview.colorlib.com/theme/sogo/css/jquery.timepicker.css	E:/viv/preview.colorlib.com/theme/sogo/css/jquery.timepicker.css	(from https://preview.colorlib.com/theme/sogo/)
11:48:43	14065/14065	---M-Z	200	added ('OK')	text/css	etag:%2236f1-57f4d26758a80-gzip%22	https://preview.colorlib.com/theme/sogo/css/fancybox.min.css	E:/viv/preview.colorlib.com/theme/sogo/css/fancybox.min.css	(from https://preview.colorlib.com/theme/sogo/)
11:48:43	51284/51284	---M-Z	200	added ('OK')	text/css	etag:%22c854-57f4d4b3c36c0-gzip%22	https://preview.colorlib.com/theme/sogo/fonts/ionicons/css/ionicons.min.css	E:/viv/preview.colorlib.com/theme/sogo/fonts/ionicons/css/ionicons.min.css	(from https://preview.colorlib.com/theme/sogo/)
11:48:43	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-57f4d45188f00-gzip%22	https://preview.colorlib.com/theme/sogo/fonts/fontawesome/css/font-awesome.min.css	E:/viv/preview.colorlib.com/theme/sogo/fonts/fontawesome/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/sogo/)
